source,campaign,region,locality,preferred_doctor_gender,reason_for_visit,patient_insured,number_of_match_results,out_network_results_shown,in_network_results_shown,avg_distance_overall,appointment_requested
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,F,Checkup,f,9,0,0,9768.553522,t
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Checkup,t,8,1,7,2356.814197,f
facebook,chicago_doctor_patient_acquisition,Austin,Allen,No Pref,Checkup,t,0,0,0,,f
facebook,doctor_patient_acquisition,Seattle,Bothell,No Pref,Checkup,t,9,2,7,14017.12051,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,Oakland,No Pref,Checkup,t,8,7,1,14882.33711,f
facebook,san_francisco_doctor_patient_acquisition,San Jose,San Jose,F,Specific Treatment,t,7,1,6,14628.63463,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,f,9,0,0,7229.597461,f
www.totalhealthmedicalpc.com,chicago_doctor_patient_acquisition,Chicago,Aurora,No Pref,Checkup,t,3,1,2,19639.53775,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,Fremont,No Pref,Checkup,t,9,3,6,21316.58631,t
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Checkup,t,9,6,3,7359.719802,f
facebook,seattle_doctor_patient_acquisition,Seattle,Sammamish,No Pref,Checkup,t,9,0,9,13009.68614,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Urgent Issue,t,9,7,2,13729.00702,t
facebook,seattle_doctor_patient_acquisition,Seattle,Seattle,No Pref,Checkup,t,9,4,5,7848.35145,f
facebook,san_jose_doctor_patient_acquisition,San Francisco,Redwood City,No Pref,Checkup,f,2,0,0,6554.7869770000025,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Checkup,t,9,8,1,12758.22222,f
facebook,san_diego_doctor_patient_acquisition,San Jose,San Jose,No Pref,Checkup,t,9,9,0,8750.501979,t
SEO - C/S Page,Unknown,Austin,Round Rock,No Pref,Checkup,t,8,3,5,15902.60981,f
Branded - SEO,Unknown,San Diego,San Diego,M,Urgent Issue,f,8,0,0,13914.89176,f
www.healthcare.com,Unknown,Denver,Denver,No Pref,Checkup,t,9,3,6,7432.964504,t
www.tedfordmedical.com,patient_leads_jun_2018,Denver,Centennial,M,Urgent Issue,t,7,3,4,15790.10977,f
facebook,san_diego_doctor_patient_acquisition,San Diego,Lakeside,No Pref,Checkup,t,9,9,0,19965.82374,f
Direct,Unknown,Seattle,Renton,F,Checkup,t,9,0,9,14452.92746,t
facebook,san_francisco_doctor_patient_acquisition,San Francisco,Fremont,No Pref,Checkup,t,9,4,5,21316.58631,t
facebook,san_francisco_doctor_patient_acquisition,San Francisco,Daly City,No Pref,Checkup,f,9,0,0,13828.75119,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Specific Treatment,f,9,0,0,18345.01893,f
www.healthcare.com,seattle_doctor_patient_acquisition,Seattle,Seattle,No Pref,Checkup,t,9,0,9,7584.71386,t
Patients,Unknown,Chicago,Chicago,No Pref,Checkup,t,9,0,9,4937.155215999999,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Urgent Issue,f,8,0,0,8296.152837,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,Berkeley,F,Checkup,t,5,2,3,14579.514680000002,t
duckduckgo.com,Unknown,Austin,San Antonio,F,Checkup,t,0,0,0,,f
www.healthcare.com,Unknown,Austin,Cedar Hill,F,Specific Treatment,f,0,0,0,,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Checkup,t,8,2,6,2510.435723,t
try.healthcare.com,Unknown,Austin,Austin,No Pref,Checkup,t,9,3,6,10423.46299,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Checkup,t,8,2,6,2659.588701,f
Branded - Adwords,branded_keywords,Chicago,Chicago,No Pref,Checkup,t,9,0,9,3512.7935340000013,t
facebook,seattle_doctor_patient_acquisition,Seattle,Bellevue,No Pref,Checkup,f,9,0,0,7982.864966,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,F,Checkup,f,9,0,0,15434.23896,f
facebook,patient_leads_jun_2018,San Diego,San Diego,No Pref,Checkup,t,8,5,3,10642.03982,f
facebook,doctor_patient_acquisition,Austin,Austin,No Pref,Checkup,t,9,3,6,9068.532192,t
facebook,san_francisco_doctor_patient_acquisition,San Francisco,South San Francisco,No Pref,Checkup,t,9,7,2,15080.464219999998,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Urgent Issue,t,9,0,9,3585.778584,f
www.healthcare.com,Unknown,Chicago,Deerfield,No Pref,Checkup,t,9,2,7,17870.02436,f
SEO - C/S Page,,Chicago,Chicago,No Pref,Specific Treatment,t,9,9,0,2125.646902,t
adwords,search_sanfrancisco_local,San Francisco,San Francisco,F,Checkup,t,5,1,4,2671.983134,f
Patients,Unknown,Chicago,Chicago,No Pref,Checkup,t,9,0,9,8109.538837999998,t
www.healthcare.com:443,Unknown,Austin,Grand Prairie,No Pref,Urgent Issue,t,0,0,0,,f
facebook,seattle_doctor_patient_acquisition,Seattle,Mercer Island,M,Checkup,t,9,7,2,9773.309119,f
facebook,austin_doctor_patient_acquisition,Denver,Littleton,No Pref,Checkup,f,9,0,0,13516.80418,f
facebook,seattle_doctor_patient_acquisition,Seattle,Snohomish,No Pref,Checkup,f,6,0,0,14894.07035,f
facebook,seattle_doctor_patient_acquisition,Seattle,Seattle,No Pref,Specific Treatment,f,9,0,0,5268.375854999998,f
facebook,seattle_doctor_patient_acquisition,Seattle,Renton,No Pref,Checkup,t,9,5,4,10201.06757,f
facebook,patient_leads_feb_2018,Chicago,Chicago,No Pref,Checkup,t,9,3,6,4649.558132,f
facebook,seattle_doctor_patient_acquisition,Seattle,Federal Way,No Pref,Urgent Issue,t,6,5,1,12195.0178,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Checkup,t,9,3,6,9584.598761,f
facebook,chicago_doctor_patient_acquisition,Austin,Arlington,No Pref,Checkup,t,0,0,0,,f
jan_2018_high_offer,jan_2018_high_offer,Seattle,Bellevue,F,Checkup,t,9,6,3,8363.9489,f
www.healthcare.com,branded_keywords,Austin,Austin,No Pref,Checkup,f,9,0,0,13582.794869999998,f
facebook,denver_doctor_patient_acquisition,Denver,Denver,No Pref,Checkup,t,9,4,5,7291.079003,t
facebook,chicago_doctor_patient_acquisition,Austin,Irving,M,Checkup,f,0,0,0,,f
Patients,Unknown,San Francisco,San Francisco,F,Checkup,t,5,5,0,5665.596517,t
facebook,seattle_doctor_patient_acquisition,Seattle,Renton,No Pref,Checkup,f,9,0,0,11326.42893,f
facebook,seattle_doctor_patient_acquisition,Seattle,Kent,No Pref,Checkup,f,9,0,0,13733.90056,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,Emeryville,No Pref,Checkup,t,8,8,0,13539.39702,f
adwords,search_seattle_local,Seattle,Seattle,No Pref,Checkup,t,9,6,3,5001.169377,f
adwords,search_seattle_metro,Seattle,Shoreline,No Pref,Urgent Issue,f,9,0,0,9442.33777,f
SEO - C/S Page,Unknown,Austin,San Antonio,No Pref,Checkup,t,0,0,0,,f
facebook,chicago_doctor_patient_acquisition,Austin,Fort Worth,No Pref,Checkup,f,0,0,0,,f
facebook,seattle_doctor_patient_acquisition,Seattle,Seattle,No Pref,Specific Treatment,f,9,0,0,6716.028241,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,Oakland,No Pref,Checkup,f,8,0,0,10438.66732,t
facebook,chicago_doctor_patient_acquisition,Austin,Hurst,No Pref,Checkup,f,0,0,0,,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,Berkeley,No Pref,Checkup,f,8,0,0,16047.68264,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,0,9,2283.634155,t
facebook,seattle_doctor_patient_acquisition,Seattle,Auburn,No Pref,Checkup,t,6,5,1,16314.7436,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Checkup,f,9,0,0,8930.528821,f
facebook,chicago_doctor_patient_acquisition,Austin,Denton,No Pref,Checkup,f,0,0,0,,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Urgent Issue,f,9,0,0,8407.39626,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Mateo,No Pref,Checkup,t,2,2,0,3885.92801,f
facebook,san_jose_doctor_patient_acquisition,San Jose,Milpitas,No Pref,Checkup,t,9,4,5,13993.90334,f
facebook,us_doctor_patient_remarketing,Austin,Austin,No Pref,Checkup,t,9,2,7,14936.86192,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,Oakland,No Pref,Checkup,f,8,0,0,10438.66732,f
adwords,search_chicago_metro,Chicago,Villa Park,M,Urgent Issue,f,9,0,0,15656.416969999998,f
www.google.com,branded_keywords,Seattle,Seattle,No Pref,Checkup,f,9,0,0,8943.293093,f
facebook,seattle_doctor_patient_acquisition,Seattle,Tacoma,No Pref,Checkup,t,3,2,1,15031.23189,f
facebook,seattle_doctor_patient_acquisition,Seattle,Redmond,No Pref,Checkup,t,9,0,9,11112.24992,f
Patients,Unknown,San Francisco,San Francisco,No Pref,Checkup,t,8,5,3,1938.023916,f
Patients,Unknown,San Francisco,Oakland,No Pref,Checkup,t,8,1,7,13743.12552,t
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,6,3,9932.383304,f
facebook,austin_doctor_patient_acquisition,Denver,Denver,F,Checkup,t,6,1,5,12622.29532,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,M,Checkup,t,4,1,3,9382.902322,t
Branded - SEO,Unknown,San Jose,Palo Alto,No Pref,Specific Treatment,f,8,0,0,20722.77713,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Checkup,f,9,0,0,7568.732920999999,f
adwords,search_sanfrancisco_local,San Francisco,Berkeley,No Pref,Checkup,t,8,1,7,14962.21542,f
adwords,search_chicago_local,Chicago,Chicago,No Pref,Checkup,t,9,2,7,10202.30138,t
jan_2018_high_offer,jan_2018_high_offer,Seattle,Seattle,No Pref,Checkup,t,9,1,8,16491.40699,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,0,9,2675.06226,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Specific Treatment,t,8,7,1,2440.169837,f
facebook,denver_doctor_patient_acquisition,Denver,Denver,No Pref,Checkup,t,9,8,1,7995.341737999999,f
facebook,san_jose_doctor_patient_acquisition,San Jose,San Jose,No Pref,Checkup,f,9,0,0,11670.39952,f
try.healthcare.com,Unknown,Austin,Austin,F,Checkup,f,5,0,0,13211.21194,f
facebook,austin_doctor_patient_acquisition,Austin,Cedar Park,M,Checkup,t,3,0,3,14271.3941,f
facebook,san_diego_doctor_patient_acquisition,San Diego,San Diego,No Pref,Checkup,f,9,0,0,11761.6706,f
Patients,Unknown,Seattle,Seattle,No Pref,Checkup,t,9,0,9,13681.30636,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,F,Checkup,t,9,4,5,3003.808395,f
facebook,san_diego_doctor_patient_acquisition,San Diego,San Diego,M,Specific Treatment,t,6,6,0,11315.97046,t
jan_2018_high_offer,jan_2018_high_offer,Chicago,Chicago,F,Checkup,t,9,0,9,6401.770156000001,t
www.facebook.com,Unknown,San Francisco,Oakland,No Pref,Checkup,t,7,3,4,23488.10784,f
www.healthcare.com,Unknown,Seattle,Lynnwood,No Pref,Checkup,t,9,4,5,11857.12013,t
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,F,Checkup,t,5,1,4,3617.186925,f
adwords,search_chicago_local,Chicago,Chicago,M,Specific Treatment,t,9,5,4,11348.01477,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Checkup,t,8,5,3,4064.110233,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,Pacifica,No Pref,Checkup,t,9,7,2,19490.24404,f
adwords,search_austin_local,Austin,Austin,No Pref,Specific Treatment,t,9,0,9,18706.5923,f
facebook,new,San Francisco,San Francisco,No Pref,Checkup,t,8,1,7,1752.618634,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Checkup,t,8,8,0,7263.521565999998,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Checkup,f,9,0,0,12748.53661,f
try.healthcare.com,Unknown,San Jose,San Jose,No Pref,Checkup,t,9,2,7,7377.421345999999,f
Direct,Unknown,San Francisco,San Francisco,No Pref,Specific Treatment,t,9,6,3,6095.111931,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Checkup,t,8,8,0,15194.628169999998,f
Patients,Unknown,Chicago,Chicago,F,Checkup,t,6,1,5,19676.33793,t
facebook,austin_doctor_patient_acquisition,Austin,Kyle,No Pref,Checkup,t,2,2,0,21782.4418,f
lm.facebook.com,Unknown,San Francisco,Fremont,No Pref,Specific Treatment,t,1,0,1,23497.13633,f
facebook,san_diego_doctor_patient_acquisition,San Diego,Santee,F,Checkup,t,4,4,0,15694.42653,f
facebook,denver_doctor_patient_acquisition,Denver,Denver,No Pref,Checkup,t,9,7,2,7288.312415,f
facebook,denver_doctor_patient_acquisition,Denver,Thornton,F,Checkup,t,5,1,4,21159.490380000007,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,Berkeley,No Pref,Specific Treatment,f,6,0,0,15072.94084,f
try.healthcare.com,Unknown,Austin,Austin,M,Checkup,t,6,2,4,12392.6543,t
facebook,sanfrancisco_doctor_patient_acquisition,San Francisco,San Francisco,F,Checkup,f,5,0,0,5665.596517,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,Oakland,F,Checkup,t,5,4,1,10890.9068,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Specific Treatment,t,9,9,0,12758.22222,t
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,f,9,0,0,12882.43764,t
facebook,seattle_doctor_patient_acquisition,Seattle,Puyallup,No Pref,Checkup,t,2,2,0,18341.83473,f
adwords,search_chicago_metro,Chicago,Burbank,No Pref,Checkup,t,9,0,9,14192.00806,f
adwords,search_sanfrancisco_local,San Francisco,San Francisco,No Pref,Checkup,t,9,2,7,8380.382237,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,Oakland,No Pref,Checkup,t,8,8,0,14882.33711,t
Branded - Adwords,branded_keywords,San Francisco,San Francisco,No Pref,Checkup,t,8,6,2,2297.702399,f
facebook,san_jose_doctor_patient_acquisition,San Jose,San Jose,No Pref,Checkup,f,9,0,0,11718.06896,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,9,0,1615.001316,f
facebook,austin_doctor_patient_acquisition,Denver,Aurora,M,Checkup,t,7,3,4,15192.23405,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Checkup,t,9,5,4,8788.974546,t
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Checkup,t,9,2,7,6744.017209999999,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,9,0,1558.222125,f
adwords,search_chicago_local,Chicago,Chicago,No Pref,Checkup,t,9,0,9,8109.538837999998,f
facebook,san_jose_doctor_patient_acquisition,San Jose,San Jose,No Pref,Checkup,f,9,0,0,12022.23428,f
facebook,seattle_doctor_patient_acquisition,Seattle,Bellevue,No Pref,Checkup,t,9,0,9,7137.388098,f
facebook,san_diego_doctor_patient_acquisition,San Diego,San Diego,No Pref,Checkup,f,8,0,0,17467.10066,f
facebook,chicago_doctor_patient_acquisition,Chicago,Melrose Park,F,Checkup,t,9,4,5,17183.17255,f
adwords,search_seattle_metro,Seattle,Bothell,No Pref,Checkup,f,9,0,0,14017.12051,f
facebook,denver_doctor_patient_acquisition,Denver,Denver,No Pref,Checkup,t,9,4,5,10761.04098,t
facebook,us_doctor_patient_remarketing,Seattle,Seattle,No Pref,Checkup,f,9,0,0,5837.221471,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,Daly City,No Pref,Checkup,t,9,2,7,11395.70447,t
facebook,us_doctor_patient_remarketing,San Diego,Solana Beach,F,Specific Treatment,f,2,0,0,19749.566000000006,f
www.ecklandfamilydoctorry.com,Unknown,Seattle,Redmond,No Pref,Specific Treatment,t,9,0,9,10318.98282,f
facebook,san_diego_doctor_patient_acquisition,San Diego,San Diego,No Pref,Checkup,f,9,0,0,10541.37312,f
facebook,san_diego_doctor_patient_acquisition,San Diego,Chula Vista,M,Specific Treatment,t,3,0,3,21847.26744,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,M,Checkup,t,3,1,2,513.2984396,f
facebook,chicago_doctor_patient_acquisition,Chicago,Cicero,No Pref,Specific Treatment,t,9,0,9,9159.161086,f
facebook,chicago_doctor_patient_acquisition,Chicago,Cicero,F,Checkup,f,9,0,0,11141.44985,f
facebook,seattle_doctor_patient_acquisition,Seattle,Malaga,F,Checkup,f,0,0,0,,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Checkup,t,8,2,6,2277.784161,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,0,9,2892.467415,f
facebook,denver_doctor_patient_acquisition,Denver,Denver,F,Checkup,t,6,3,3,6906.669358,t
www.healthcare.com,san_francisco_doctor_patient_acquisition,San Francisco,Alameda,No Pref,Checkup,t,9,2,7,15669.47379,f
www.healthcare.com,Unknown,San Francisco,San Francisco,F,Checkup,t,5,4,1,7884.8910810000025,f
Branded - SEO,Unknown,Denver,Denver,No Pref,Checkup,f,9,0,0,8456.256465999999,t
facebook,seattle_doctor_patient_acquisition,Seattle,Poulsbo,No Pref,Checkup,t,3,3,0,21573.77332,f
adwords,search_seattle_metro,Seattle,Renton,No Pref,Specific Treatment,t,9,5,4,11664.78337,f
facebook,san_diego_doctor_patient_acquisition,San Diego,San Diego,No Pref,Checkup,t,9,1,8,13054.66168,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,F,Checkup,t,5,1,4,7884.8910810000025,t
facebook,seattle_doctor_patient_acquisition,Seattle,Seattle,No Pref,Checkup,t,9,3,6,8143.952490000002,t
facebook,san_diego_doctor_patient_acquisition,San Diego,San Diego,No Pref,Checkup,t,9,4,5,11023.63074,f
facebook,seattle_doctor_patient_acquisition,Seattle,Seattle,No Pref,Specific Treatment,t,9,0,9,10526.07065,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,Berkeley,No Pref,Checkup,t,8,3,5,16225.47079,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Checkup,t,4,4,0,15528.242519999998,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,M,Checkup,f,6,0,0,12805.47638,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,F,Checkup,t,5,2,3,7884.8910810000025,f
facebook,san_diego_doctor_patient_acquisition,San Diego,San Diego,M,Specific Treatment,t,4,1,3,8902.521511,f
facebook,seattle_doctor_patient_acquisition,Seattle,Bellevue,No Pref,Checkup,t,9,0,9,7440.447811,t
facebook,austin_doctor_patient_acquisition,Austin,Cedar Park,No Pref,Checkup,t,8,2,6,15227.55134,f
facebook,san_diego_doctor_patient_acquisition,San Diego,San Diego,No Pref,Urgent Issue,t,9,8,1,11537.84241,t
facebook,chicago_doctor_patient_acquisition,Chicago,Carpentersville,No Pref,Checkup,f,0,0,0,,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,M,Checkup,t,3,0,3,4020.97195,f
adwords,search_chicago_local,Chicago,Chicago,No Pref,Checkup,t,9,0,9,4478.135222999998,f
www.healthcare.com,Unknown,San Francisco,Foster City,No Pref,Checkup,f,2,0,0,5545.384064,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,Emeryville,No Pref,Checkup,t,8,2,6,13539.39702,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Checkup,t,9,2,7,10989.51115,t
facebook,denver_doctor_patient_acquisition,Denver,Denver,M,Checkup,t,8,4,4,8959.740655,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,F,Checkup,t,5,1,4,2368.250155,f
facebook,austin_doctor_patient_acquisition,Denver,Denver,No Pref,Checkup,t,9,6,3,6546.691712,f
facebook,san_diego_doctor_patient_acquisition,San Diego,San Diego,No Pref,Checkup,t,9,0,9,12981.1191,f
facebook,san_diego_doctor_patient_acquisition,San Diego,San Diego,M,Checkup,f,8,0,0,13078.61102,f
Direct,Unknown,San Francisco,Menlo Park,M,Checkup,t,3,1,2,17429.6112,f
facebook,seattle_doctor_patient_acquisition,Seattle,Gig Harbor,F,Checkup,f,1,0,0,19253.98253,t
adwords,search_sanfrancisco_local,San Francisco,San Francisco,No Pref,Urgent Issue,f,8,0,0,1427.4572449999994,f
facebook,seattle_doctor_patient_acquisition,Seattle,Seattle,No Pref,Checkup,t,9,0,9,6946.026239,t
facebook,seattle_doctor_patient_acquisition,Seattle,Kirkland,No Pref,Checkup,t,9,0,9,8092.08588,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,0,9,10120.69612,t
adwords,search_sanfrancisco_local,San Francisco,San Francisco,No Pref,Urgent Issue,t,8,7,1,7263.521565999998,f
facebook,austin_doctor_patient_acquisition,Austin,Hutto,No Pref,Checkup,t,2,1,1,23981.2782,f
Branded - SEO,Unknown,Seattle,Seattle,No Pref,Urgent Issue,t,9,0,9,10236.03101,t
facebook,san_diego_doctor_patient_acquisition,San Jose,San Jose,M,Checkup,f,6,0,0,7462.816293000001,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,M,Checkup,t,3,2,1,2799.16392,f
adwords,search_chicago_local,Chicago,Chicago,F,Specific Treatment,t,9,1,8,15854.68932,f
facebook,doctor_patient_acquisition,San Francisco,San Francisco,M,Checkup,t,3,0,3,7472.195679,f
www.healthcare.com,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Urgent Issue,t,9,8,1,11375.11311,t
facebook,seattle_doctor_patient_acquisition,Seattle,Seattle,F,Checkup,t,9,6,3,13788.56592,f
facebook,austin_doctor_patient_acquisition,Denver,Denver,No Pref,Specific Treatment,t,7,7,0,20425.00241,f
facebook,san_jose_doctor_patient_acquisition,San Francisco,Fremont,No Pref,Checkup,f,3,0,0,22715.77049,f
facebook,seattle_doctor_patient_acquisition,Seattle,Seattle,M,Checkup,t,9,9,0,10104.79235,f
Branded - SEO,Unknown,Seattle,Seattle,No Pref,Urgent Issue,t,9,0,9,6344.910761,t
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,F,Checkup,t,9,0,9,6075.397995,t
facebook,seattle_doctor_patient_acquisition,Seattle,Federal Way,No Pref,Checkup,t,6,0,6,12195.0178,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Checkup,f,8,0,0,2079.625122,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,0,9,3156.599275,t
Branded - SEO,Unknown,Seattle,Everett,M,Checkup,t,6,2,4,14701.16968,f
Direct,Unknown,Austin,Houston,No Pref,Checkup,t,9,3,6,5381.1449950000015,f
SEO - C/S Page,Unknown,Chicago,Chicago,F,Checkup,t,9,2,7,10062.04326,f
facebook,seattle_doctor_patient_acquisition,Seattle,Kent,No Pref,Checkup,t,9,6,3,15860.25404,f
facebook,seattle_doctor_patient_acquisition,Seattle,Bellevue,M,Checkup,t,9,0,9,11457.12465,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,F,Checkup,t,6,1,5,11701.4954,f
facebook,seattle_doctor_patient_acquisition,Seattle,Newcastle,No Pref,Checkup,t,9,0,9,7907.623270999998,t
facebook,seattle_doctor_patient_acquisition,Seattle,Seattle,No Pref,Checkup,f,9,0,0,7857.71677,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Specific Treatment,f,9,0,0,2406.478524,t
adwords,search_seattle_local,Seattle,Seattle,No Pref,Checkup,t,9,0,9,6935.143198999999,f
facebook,austin_doctor_patient_acquisition,Austin,Leander,No Pref,Urgent Issue,f,5,0,0,19894.61283,f
SEO - C/S Page,Unknown,Seattle,Renton,No Pref,Urgent Issue,f,9,0,0,11326.42893,t
growsumo,Unknown,Seattle,Bellevue,No Pref,Checkup,t,9,0,9,7534.349415000002,t
facebook,austin_doctor_patient_acquisition,Austin,Austin,F,Checkup,f,5,0,0,7458.933120999999,f
facebook,seattle_doctor_patient_acquisition,Seattle,Everett,No Pref,Checkup,t,9,3,6,14452.02521,f
try.healthcare.com,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Checkup,t,9,2,7,11749.11122,f
facebook,chicago_doctor_patient_acquisition,Chicago,Des Plaines,No Pref,Checkup,t,9,0,9,14502.03984,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,Oakland,M,Urgent Issue,f,3,0,0,23822.47423,f
Direct,Unknown,Denver,Littleton,No Pref,Checkup,t,9,8,1,19701.2522,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Bruno,No Pref,Checkup,t,9,2,7,16995.00144,f
Direct,Unknown,Denver,Denver,No Pref,Checkup,t,9,9,0,11477.09829,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,f,9,0,0,4093.354257,f
facebook,seattle_doctor_patient_acquisition,Seattle,Mukilteo,No Pref,Checkup,t,9,7,2,14352.14441,f
adwords,search_chicago_local,Chicago,Chicago,No Pref,Specific Treatment,t,9,8,1,6163.131802,f
try.healthcare.com,Unknown,Austin,Frisco,No Pref,Checkup,t,0,0,0,,f
facebook,seattle_doctor_patient_acquisition,Seattle,Snoqualmie,No Pref,Checkup,t,1,0,1,17905.08197,t
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Urgent Issue,f,9,0,0,7558.688383,f
facebook,austin_doctor_patient_acquisition,Denver,Denver,F,Checkup,t,6,3,3,7179.156197,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Checkup,t,8,8,0,1421.658583,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Checkup,t,8,7,1,1647.024071,t
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Checkup,t,9,0,9,17439.04771,t
Direct,patient_leads_may_2018,San Jose,Mountain View,F,Checkup,t,5,1,4,17647.6339,f
adwords,search_chicago_local,Chicago,Chicago,No Pref,Urgent Issue,t,9,2,7,17276.91387,t
Direct,patient_leads_may_2018,San Francisco,San Francisco,No Pref,Checkup,t,9,2,7,7233.1757,t
facebook,san_jose_doctor_patient_acquisition,San Diego,San Diego,No Pref,Checkup,t,8,8,0,18174.28927,f
facebook,seattle_doctor_patient_acquisition,Seattle,Tacoma,No Pref,Checkup,t,2,1,1,15734.24246,f
facebook,san_diego_doctor_patient_acquisition,San Diego,San Diego,No Pref,Checkup,t,9,1,8,11821.2663,f
facebook,austin_doctor_patient_acquisition,Denver,Denver,No Pref,Checkup,f,9,0,0,10761.04098,t
facebook,san_jose_doctor_patient_acquisition,San Jose,Santa Clara,No Pref,Checkup,t,9,1,8,8955.799487,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,M,Checkup,t,4,4,0,10923.45669,f
adwords,search_chicago_local,Chicago,Chicago,No Pref,Specific Treatment,t,9,0,9,3120.396094,f
facebook,chicago_doctor_patient_acquisition,Chicago,Philadelphia,F,Checkup,t,0,0,0,,f
